Customer ID,Age,Item Purchased,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Product_ID,Gender_Female,Category_Accessories,Category_Clothing,Category_Footwear,Category_Outerwear,Location_encoded,Size_encoded,Color_encoded,Subscription Status_encoded,Shipping Type_encoded,Discount Applied_encoded,Payment Method_encoded,Season_cycle,Season_sin,Season_cos,Frequency_score,Customer_Loyalty_Score,Dominant_Season,Interaction_Score
1,0.7189134397952563,Blouse,-0.2856286395859996,Kentucky,L,Gray,Winter,-0.9075835732839896,Yes,Express,Yes,Yes,-0.7858306710129406,Venmo,Fortnightly,Blouse_Clothing_L_Gray,0,0,1,0,0,16,0,7,1,1,1,5,0,0.0,1.0,0.45115648389391044,0.06613032515238795,Spring,-0.7209970931745926
2,-1.6486292371745563,Sweater,0.17885218518331839,Maine,L,Maroon,Winter,-0.9075835732839896,Yes,Express,Yes,Yes,-1.6165522585850673,Cash,Fortnightly,Sweater_Clothing_L_Maroon,0,0,1,0,0,18,0,12,1,1,1,1,0,0.0,1.0,0.45115648389391044,-0.2661583098764628,Spring,-0.5816528457437972
3,0.3900880679938935,Jeans,0.5588819509036694,Massachusetts,S,Maroon,Spring,-0.9075835732839896,Yes,Free Shipping,Yes,Yes,-0.16278948033384555,Credit Card,Weekly,Jeans_Clothing_S_Maroon,0,0,1,0,0,20,2,12,1,2,1,2,1,1.0,6.123233995736766e-17,1.0516719402714705,0.5555529839750499,Fall,-0.46764391602769184
4,-1.5170990884540112,Sandals,1.2767159528198881,Rhode Island,M,Maroon,Spring,-0.3490265374929906,Yes,Next Day Air,Yes,Yes,1.6371072927390957,PayPal,Weekly,Sandals_Footwear_M_Maroon,0,0,0,1,0,38,1,12,1,3,1,4,1,1.0,6.123233995736766e-17,1.0516719402714705,1.2755116932042265,Fall,0.138696209600873
5,0.061262696192530657,Blouse,-0.45453075768393336,Oregon,M,Turquoise,Spring,-1.4661406090749887,Yes,Free Shipping,Yes,Yes,0.39102491138090567,PayPal,Annually,Blouse_Clothing_M_Turquoise,0,0,1,0,0,36,1,21,1,2,1,4,1,1.0,6.123233995736766e-17,-1.3503898852387695,-0.18374598954314547,Spring,-1.1626576536576718
6,0.12702777055280323,Sneakers,-1.6790711138939534,Wyoming,M,White,Summer,-1.1868620911794894,Yes,Standard,Yes,Yes,-0.7858306710129406,Venmo,Weekly,Sneakers_Footwear_M_White,0,0,0,1,0,49,1,23,1,4,1,5,2,1.2246467991473532e-16,-1.0,1.0516719402714705,0.306336507703412,Spring,-1.3345247979938284
7,1.245034034677437,Shirt,1.0655883051974708,Montana,M,Gray,Fall,-0.7679443143362397,Yes,Free Shipping,Yes,Yes,1.6371072927390957,Cash,Quarterly,Shirt_Clothing_M_Gray,0,0,1,0,0,25,1,7,1,2,1,1,3,-1.0,-1.8369701987210297e-16,-0.7498744288612096,0.5548931455511545,Winter,-0.21788452847612655
8,-1.1225086422923756,Shorts,-1.0879137005511852,Louisiana,L,Charcoal,Winter,-0.7679443143362397,Yes,Free Shipping,Yes,Yes,-0.4396966761912211,Credit Card,Weekly,Shorts_Clothing_L_Charcoal,0,0,1,0,0,17,0,4,1,2,1,2,0,0.0,1.0,1.0516719402714705,0.44479010563209975,Spring,-0.8639351302007233
9,-1.1882737166526482,Coat,1.5722946594912723,West Virginia,L,Silver,Summer,-1.6057798680227386,Yes,Express,Yes,Yes,-1.201191464799004,Venmo,Annually,Coat_Outerwear_L_Silver,0,0,0,0,1,47,0,19,1,1,1,5,2,1.2246467991473532e-16,-1.0,-1.3503898852387695,-0.8206325400151095,Spring,-0.6523575097685353
10,0.8504435885158015,Handbag,-1.2145902891246354,Missouri,M,Pink,Spring,1.4662838288277564,Yes,2-Day Shipping,Yes,Yes,-1.4780986606563795,Cash,Quarterly,Handbag_Accessories_M_Pink,0,1,0,0,0,24,1,16,1,0,1,1,1,1.0,6.123233995736766e-17,-0.7498744288612096,-0.6911892358070357,Fall,0.6620215934420388
11,0.5873832910747112,Shoes,-1.0879137005511852,Arkansas,L,Purple,Fall,0.48880901619350764,Yes,Store Pickup,Yes,Yes,0.04489091655918616,Bank Transfer,Bi-Weekly,Shoes_Footwear_L_Purple,0,0,0,1,0,3,0,17,1,5,1,0,3,-1.0,-1.8369701987210297e-16,1.6521873966490304,0.8788313252832867,Summer,0.015792201170099773
12,-0.925213419211558,Shorts,0.3477543032812522,Hawaii,S,Olive,Winter,1.605923087775507,Yes,Store Pickup,Yes,Yes,-1.0627378668703162,Bank Transfer,Fortnightly,Shorts_Clothing_S_Olive,0,0,1,0,0,10,2,13,1,5,1,0,0,0.0,1.0,0.45115648389391044,-0.044632553190562335,Spring,1.2284724524272306
13,1.1135038859568918,Coat,0.516656421379186,Delaware,M,Gold,Winter,1.0473660519845074,Yes,Express,Yes,Yes,0.8063857051669691,Venmo,Fortnightly,Coat_Outerwear_M_Gold,0,0,0,0,1,7,1,6,1,1,1,5,0,0.0,1.0,0.45115648389391044,0.7030168756243518,Spring,0.8881531628029109
14,1.376564183397982,Dress,-0.3700796986349665,New Hampshire,M,Violet,Spring,1.3266445698800071,Yes,Express,Yes,Yes,0.39102491138090567,PayPal,Weekly,Dress_Clothing_M_Violet,0,0,1,0,0,28,1,22,1,1,1,4,1,1.0,6.123233995736766e-17,1.0516719402714705,0.7770787406609505,Summer,0.817627289325515
15,1.3107991090377096,Coat,-0.2856286395859996,New York,L,Teal,Winter,1.3266445698800071,Yes,Free Shipping,Yes,Yes,0.5987053082739373,Debit Card,Weekly,Coat_Outerwear_L_Teal,0,0,0,0,1,31,0,20,1,2,1,3,0,0.0,1.0,1.0516719402714705,0.8601508994181633,Spring,0.842962607040205
16,1.3107991090377096,Skirt,0.8966861870995371,Rhode Island,M,Teal,Winter,-1.3265013501272394,Yes,Store Pickup,Yes,Yes,-1.201191464799004,PayPal,Monthly,Skirt_Clothing_M_Teal,0,0,1,0,0,38,1,20,1,5,1,4,0,0.0,1.0,-0.14935897248364954,-0.3402201749130614,Fall,-0.6595450889592063
17,-1.254038791012921,Sunglasses,-1.0034626415022183,Alabama,S,Gray,Spring,0.48880901619350764,Yes,Next Day Air,Yes,Yes,1.2909732979173763,Debit Card,Bi-Weekly,Sunglasses_Accessories_S_Gray,0,1,0,0,0,0,2,7,1,3,1,3,1,1.0,6.123233995736766e-17,1.6521873966490304,1.3772642778265627,Winter,0.04112751888478983
18,0.5873832910747112,Dress,-0.9190115824532513,Mississippi,XL,Lavender,Winter,1.3266445698800071,Yes,2-Day Shipping,Yes,Yes,0.7371589062026251,Venmo,Quarterly,Dress_Clothing_XL_Lavender,0,0,1,0,0,23,3,10,1,0,1,5,0,0.0,1.0,-0.7498744288612096,0.19491379093656624,Summer,0.6529477241800294
19,0.5216182167144386,Sweater,-0.49675628720841686,Montana,S,Black,Summer,1.1870053109322567,Yes,Free Shipping,Yes,Yes,-0.5781502741199089,Cash,Weekly,Sweater_Clothing_S_Black,0,0,1,0,0,25,2,1,1,2,1,1,2,1.2246467991473532e-16,-1.0,1.0516719402714705,0.38940866646062466,Spring,0.6818768314900546
20,1.4423292577582547,Pants,1.2767159528198881,Rhode Island,M,Green,Summer,-0.6283050553884905,Yes,Standard,Yes,Yes,1.429426895846064,Debit Card,Bi-Weekly,Pants_Clothing_M_Green,0,0,1,0,0,38,1,8,1,4,1,3,2,1.2246467991473532e-16,-1.0,1.6521873966490304,1.4326457169980378,Winter,-0.05679875292597686
21,-1.5170990884540112,Pants,-0.3700796986349665,Louisiana,M,Black,Winter,-1.3265013501272394,Yes,Express,Yes,Yes,1.7063340917034397,Cash,Every 3 Months,Pants_Clothing_M_Black,0,0,1,0,0,17,1,1,1,1,1,1,0,0.0,1.0,-0.7498744288612096,0.5825838651368921,Winter,-1.0395748546795573
22,-0.8594483448512854,Pants,0.09440112613435148,North Carolina,M,Charcoal,Winter,0.48880901619350764,Yes,Store Pickup,Yes,Yes,-0.23201627929818944,Debit Card,Quarterly,Pants_Clothing_M_Charcoal,0,0,1,0,0,32,1,4,1,5,1,3,0,0.0,1.0,-0.7498744288612096,-0.1927562832637596,Winter,0.3704866491757608
